leg,symbol,quantity,entry_time,entry_px,exit_time,exit_px,exit_reason,is_short,pnl_points,pnl_rupees
WEEKLY_PE,NIFTY16FEB2317800PE,65,2023-02-09T12:10:00+05:30,89.4,2023-02-09T13:35:00+05:30,80.25,opposite_signal,False,-9.150000000000006,-594.7500000000003
WEEKLY_CE,NIFTY16FEB2317900CE,65,2023-02-09T13:45:00+05:30,116.05,2023-02-09T15:15:00+05:30,119.75,universal_exit_time,False,3.700000000000003,240.50000000000017
WEEKLY_PE,NIFTY16FEB2317800PE,65,2023-02-10T09:30:00+05:30,98.0,2023-02-10T15:15:00+05:30,67.35,universal_exit_time,False,-30.650000000000006,-1992.2500000000005
WEEKLY_PE,NIFTY16FEB2317800PE,65,2023-02-13T09:30:00+05:30,79.25,2023-02-13T15:15:00+05:30,95.05,universal_exit_time,False,15.799999999999997,1026.9999999999998
WEEKLY_CE,NIFTY16FEB2317900CE,65,2023-02-14T09:30:00+05:30,56.25,2023-02-14T15:15:00+05:30,87.0,universal_exit_time,False,30.75,1998.75
WEEKLY_PE,NIFTY16FEB2317850PE,65,2023-02-15T09:30:00+05:30,54.5,2023-02-15T10:00:00+05:30,34.1,opposite_signal,False,-20.4,-1326.0
WEEKLY_CE,NIFTY23FEB2318150CE,65,2023-02-16T09:40:00+05:30,105.1,2023-02-16T09:50:00+05:30,97.85,opposite_signal,False,-7.25,-471.25
WEEKLY_PE,NIFTY23FEB2318100PE,65,2023-02-16T09:40:00+05:30,86.85,2023-02-16T15:15:00+05:30,126.2,universal_exit_time,False,39.35000000000001,2557.7500000000005
WEEKLY_PE,NIFTY23FEB2317950PE,65,2023-02-17T09:30:00+05:30,75.9,2023-02-17T15:15:00+05:30,93.1,universal_exit_time,False,17.19999999999999,1117.9999999999993
WEEKLY_PE,NIFTY23FEB2317900PE,65,2023-02-20T09:30:00+05:30,78.55,2023-02-20T09:40:00+05:30,50.35,opposite_signal,False,-28.199999999999996,-1832.9999999999998
WEEKLY_CE,NIFTY23FEB2318000CE,65,2023-02-20T09:40:00+05:30,79.3,2023-02-20T10:30:00+05:30,66.15,opposite_signal,False,-13.149999999999991,-854.7499999999994
WEEKLY_CE,NIFTY23FEB2318000CE,65,2023-02-20T11:10:00+05:30,71.9,2023-02-20T11:25:00+05:30,60.65,opposite_signal,False,-11.250000000000007,-731.2500000000005
WEEKLY_PE,NIFTY23FEB2317900PE,65,2023-02-20T11:25:00+05:30,66.25,2023-02-20T11:45:00+05:30,62.0,opposite_signal,False,-4.25,-276.25
WEEKLY_PE,NIFTY23FEB2317900PE,65,2023-02-20T11:55:00+05:30,68.05,2023-02-20T15:15:00+05:30,107.7,universal_exit_time,False,39.650000000000006,2577.2500000000005
WEEKLY_CE,NIFTY23FEB2317900CE,65,2023-02-21T09:30:00+05:30,75.15,2023-02-21T09:40:00+05:30,69.65,opposite_signal,False,-5.5,-357.5
WEEKLY_PE,NIFTY23FEB2317800PE,65,2023-02-21T09:35:00+05:30,57.5,2023-02-21T09:45:00+05:30,52.3,opposite_signal,False,-5.200000000000003,-338.00000000000017
WEEKLY_CE,NIFTY23FEB2317900CE,65,2023-02-21T10:00:00+05:30,76.95,2023-02-21T11:45:00+05:30,65.0,opposite_signal,False,-11.950000000000003,-776.7500000000002
WEEKLY_CE,NIFTY23FEB2317900CE,65,2023-02-21T11:55:00+05:30,70.75,2023-02-21T12:05:00+05:30,58.45,opposite_signal,False,-12.299999999999997,-799.4999999999998
WEEKLY_PE,NIFTY23FEB2317800PE,65,2023-02-21T12:20:00+05:30,56.3,2023-02-21T12:55:00+05:30,54.2,opposite_signal,False,-2.0999999999999943,-136.49999999999963
WEEKLY_PE,NIFTY23FEB2317800PE,65,2023-02-21T13:05:00+05:30,56.6,2023-02-21T13:15:00+05:30,46.75,opposite_signal,False,-9.850000000000001,-640.2500000000001
WEEKLY_PE,NIFTY23FEB2317800PE,65,2023-02-21T14:25:00+05:30,60.65,2023-02-21T14:45:00+05:30,45.45,opposite_signal,False,-15.199999999999996,-987.9999999999998
WEEKLY_PE,NIFTY23FEB2317700PE,65,2023-02-22T09:30:00+05:30,40.7,2023-02-22T10:50:00+05:30,81.6,profit_target,False,40.89999999999999,2658.4999999999995
WEEKLY_PE,NIFTY23FEB2317650PE,65,2023-02-22T10:50:00+05:30,55.0,2023-02-22T13:35:00+05:30,111.2,profit_target,False,56.2,3653.0
WEEKLY_PE,NIFTY23FEB2317550PE,65,2023-02-22T13:35:00+05:30,54.7,2023-02-22T15:15:00+05:30,49.15,universal_exit_time,False,-5.550000000000004,-360.7500000000003
WEEKLY_PE,NIFTY02MAR2317450PE,65,2023-02-23T09:30:00+05:30,113.95,2023-02-23T10:00:00+05:30,62.45,opposite_signal,False,-51.5,-3347.5
WEEKLY_CE,NIFTY02MAR2317650CE,65,2023-02-23T10:00:00+05:30,117.5,2023-02-23T10:35:00+05:30,115.8,opposite_signal,False,-1.7000000000000028,-110.50000000000018
WEEKLY_CE,NIFTY02MAR2317650CE,65,2023-02-23T10:40:00+05:30,118.25,2023-02-23T10:50:00+05:30,103.0,opposite_signal,False,-15.25,-991.25
WEEKLY_PE,NIFTY02MAR2317550PE,65,2023-02-23T12:10:00+05:30,123.15,2023-02-23T13:10:00+05:30,107.0,opposite_signal,False,-16.150000000000006,-1049.7500000000005
WEEKLY_PE,NIFTY02MAR2317500PE,65,2023-02-23T13:35:00+05:30,101.4,2023-02-23T13:45:00+05:30,87.0,opposite_signal,False,-14.400000000000006,-936.0000000000003
WEEKLY_CE,NIFTY02MAR2317600CE,65,2023-02-24T09:30:00+05:30,99.0,2023-02-24T09:40:00+05:30,93.05,opposite_signal,False,-5.950000000000003,-386.75000000000017
WEEKLY_PE,NIFTY02MAR2317500PE,65,2023-02-24T10:55:00+05:30,96.95,2023-02-24T11:05:00+05:30,92.0,opposite_signal,False,-4.950000000000003,-321.75000000000017
WEEKLY_PE,NIFTY02MAR2317500PE,65,2023-02-24T11:35:00+05:30,96.1,2023-02-24T15:15:00+05:30,111.35,universal_exit_time,False,15.25,991.25
WEEKLY_PE,NIFTY02MAR2317400PE,65,2023-02-27T09:30:00+05:30,73.9,2023-02-27T15:15:00+05:30,76.95,universal_exit_time,False,3.049999999999997,198.24999999999983
WEEKLY_CE,NIFTY02MAR2317450CE,65,2023-02-28T09:30:00+05:30,78.75,2023-02-28T09:45:00+05:30,74.2,opposite_signal,False,-4.549999999999997,-295.74999999999983
WEEKLY_PE,NIFTY02MAR2317400PE,65,2023-02-28T09:55:00+05:30,71.4,2023-02-28T10:30:00+05:30,67.4,opposite_signal,False,-4.0,-260.0
WEEKLY_PE,NIFTY02MAR2317350PE,65,2023-02-28T10:35:00+05:30,57.95,2023-02-28T14:05:00+05:30,124.1,profit_target,False,66.14999999999999,4299.749999999999
WEEKLY_PE,NIFTY02MAR2317250PE,65,2023-02-28T14:05:00+05:30,67.55,2023-02-28T15:15:00+05:30,37.45,universal_exit_time,False,-30.099999999999994,-1956.4999999999995
WEEKLY_CE,NIFTY02MAR2317400CE,65,2023-03-01T09:30:00+05:30,56.35,2023-03-01T15:15:00+05:30,80.6,universal_exit_time,False,24.249999999999993,1576.2499999999995
WEEKLY_PE,NIFTY09MAR2317350PE,65,2023-03-02T09:30:00+05:30,93.85,2023-03-02T15:15:00+05:30,102.6,universal_exit_time,False,8.75,568.75
WEEKLY_PE,NIFTY09MAR2317450PE,65,2023-03-03T09:40:00+05:30,71.35,2023-03-03T09:50:00+05:30,62.35,opposite_signal,False,-8.999999999999993,-584.9999999999995
WEEKLY_CE,NIFTY09MAR2317500CE,65,2023-03-03T09:50:00+05:30,83.3,2023-03-03T14:25:00+05:30,170.1,profit_target,False,86.8,5642.0
WEEKLY_CE,NIFTY09MAR2317650CE,65,2023-03-03T14:25:00+05:30,73.15,2023-03-03T15:15:00+05:30,55.2,universal_exit_time,False,-17.950000000000003,-1166.7500000000002
WEEKLY_CE,NIFTY09MAR2317800CE,65,2023-03-06T09:50:00+05:30,55.8,2023-03-06T11:20:00+05:30,45.55,opposite_signal,False,-10.25,-666.25
WEEKLY_PE,NIFTY09MAR2317750PE,65,2023-03-06T11:20:00+05:30,64.65,2023-03-06T11:30:00+05:30,55.4,opposite_signal,False,-9.250000000000007,-601.2500000000005
WEEKLY_CE,NIFTY09MAR2317800CE,65,2023-03-06T11:30:00+05:30,54.1,2023-03-06T12:30:00+05:30,49.15,opposite_signal,False,-4.950000000000003,-321.75000000000017
WEEKLY_PE,NIFTY09MAR2317750PE,65,2023-03-06T12:50:00+05:30,63.4,2023-03-06T13:00:00+05:30,59.75,opposite_signal,False,-3.6499999999999986,-237.24999999999991
WEEKLY_PE,NIFTY09MAR2317700PE,65,2023-03-06T13:30:00+05:30,49.05,2023-03-06T15:15:00+05:30,52.45,universal_exit_time,False,3.4000000000000057,221.00000000000037
WEEKLY_PE,NIFTY16MAR2317700PE,65,2023-03-09T09:30:00+05:30,102.8,2023-03-09T15:15:00+05:30,162.5,universal_exit_time,False,59.7,3880.5
